Latitude;Longitude;Altitude;Date
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:25.481Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:31.514Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:37.435Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:38.331Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:48.426Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:54.330Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:00.264Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:06.233Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:07.153Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:17.226Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:23.202Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:29.163Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:35.092Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:36.004Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:46.061Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:51.992Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:19:57.936Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:03.873Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:04.787Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:09.868Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:20.022Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:25.819Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:31.662Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:32.433Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:42.484Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:48.301Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:54.108Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:20:59.925Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:21:00.730Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:21:10.791Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:21:16.612Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:21:22.433Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:21:27.627Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:21:28.423Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:21:38.485Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:21:44.297Z
37.1404068;-8.5358585;69.80000305175781;2023-03-13 18:21:50.203Z
37.1404068;-8.5358585;69.80000305175781;2023-03-13 18:21:52.249Z
37.1404068;-8.5358585;69.80000305175781;2023-03-13 18:21:57.239Z
37.140407;-8.5358462;69.80000305175781;2023-03-13 18:22:07.417Z
37.1403586;-8.5359037;72.4000015258789;2023-03-13 18:22:13.212Z
37.1403548;-8.5359017;72.4000015258789;2023-03-13 18:22:19.040Z
37.1403517;-8.5359053;72.4000015258789;2023-03-13 18:22:24.865Z
37.1403504;-8.535907;72.4000015258789;2023-03-13 18:22:30.702Z
37.1403512;-8.5358973;72.4000015258789;2023-03-13 18:34:23.419Z
37.1403512;-8.5358973;72.4000015258789;2023-03-13 18:36:23.438Z
37.1403512;-8.5358973;72.4000015258789;2023-03-13 18:38:23.452Z
37.1403512;-8.5358973;72.4000015258789;2023-03-13 18:40:23.464Z
37.1403512;-8.5358973;72.4000015258789;2023-03-13 18:42:23.472Z
37.1403512;-8.5358973;72.4000015258789;2023-03-13 18:44:23.513Z
37.1403512;-8.5358973;72.4000015258789;2023-03-13 18:46:23.562Z
37.1403512;-8.5358973;72.4000015258789;2023-03-13 18:48:23.580Z
37.1403773;-8.5359089;72.4000015258789;2023-03-13 18:48:56.420Z
37.1403773;-8.5359089;72.4000015258789;2023-03-13 18:48:56.697Z
37.1403773;-8.5359089;72.4000015258789;2023-03-13 18:49:01.726Z
37.140374;-8.5359066;72.4000015258789;2023-03-13 18:49:12.463Z
37.1403755;-8.5359111;72.4000015258789;2023-03-13 18:49:18.281Z
37.1403505;-8.5359083;72.4000015258789;2023-03-13 18:49:24.075Z
37.140372;-8.5359042;72.4000015258789;2023-03-13 18:49:29.854Z
37.1403721;-8.5359057;72.4000015258789;2023-03-13 18:49:35.638Z
37.1403736;-8.5359063;72.4000015258789;2023-03-13 18:49:41.429Z
37.1403775;-8.5359066;72.4000015258789;2023-03-13 18:49:47.237Z
37.1403726;-8.5359106;72.4000015258789;2023-03-13 18:49:53.037Z
37.1403726;-8.5359106;72.4000015258789;2023-03-13 18:49:53.154Z
37.1403747;-8.5359065;72.4000015258789;2023-03-13 18:50:03.896Z
37.1403747;-8.5359065;72.4000015258789;2023-03-13 18:50:04.044Z
37.1403771;-8.5359076;72.4000015258789;2023-03-13 18:50:14.753Z
37.1403758;-8.5359118;72.4000015258789;2023-03-13 18:50:20.547Z
37.1403758;-8.5359118;72.4000015258789;2023-03-13 18:50:26.022Z
37.140358;-8.5358974;72.4000015258789;2023-03-13 18:52:26.157Z
37.140358;-8.5358974;72.4000015258789;2023-03-13 18:54:26.178Z
37.140358;-8.5358974;72.4000015258789;2023-03-13 18:56:26.194Z
37.140358;-8.5358974;72.4000015258789;2023-03-13 18:58:26.208Z
37.140358;-8.5358974;72.4000015258789;2023-03-13 19:00:26.222Z
;-8.5358974;72.4000015258789;2023-03-13 19:00:26.222Z
